entidad,numero_consultorios,poblacion,indice
AGUASCALIENTES,240,"1,425,607",0.17
BAJA CALIFORNIA,455,"3,769,020",0.12
BAJA CALIFORNIA SUR,159,"798,447",0.20
CAMPECHE,238,"928,363",0.26
CHIAPAS,1798,"9,209,944",0.20
CHIHUAHUA,724,"3,146,771",0.23
CIUDAD DE MEXICO,1552,"731,391",2.12
COAHUILA DE ZARAGOZA,411,"5,543,828",0.07
COLIMA,233,"3,741,869",0.06
DURANGO,529,"1,832,650",0.29
GUANAJUATO,1137,"6,166,934",0.18
GUERRERO,1545,"3,540,685",0.44
HIDALGO,1210,"3,082,841",0.39
JALISCO,1263,"8,348,151",0.15
MEXICO,2898,"16,992,418",0.17
MICHOACAN DE OCAMPO,1318,"4,748,846",0.28
MORELOS,512,"1,971,520",0.26
NAYARIT,483,"1,235,456",0.39
NUEVO LEON,726,"5,784,442",0.13
OAXACA,1717,"4,132,148",0.42
PUEBLA,1485,"6,583,278",0.23
QUERETARO,422,"2,368,467",0.18
QUINTANA ROO,245,"1,857,985",0.13
SAN LUIS POTOSI,661,"2,822,255",0.23
SINALOA,667,"3,026,943",0.22
SONORA,611,"2,944,840",0.21
TABASCO,967,"2,402,598",0.40
TAMAULIPAS,670,"3,527,735",0.19
TLAXCALA,371,"1,342,977",0.28
VERACRUZ DE IGNACIO DE LA LLAVE,2001,"8,062,579",0.25
YUCATAN,421,"2,320,898",0.18
ZACATECAS,543,"1,622,138",0.33
