clues,institucion_siglas,institución,entidad,municipio,tipo_establecimiento,clave_tipologia,nombre_tipologia,nivel_atencion,sector,nombre_unidad,direccion_completa,latitud,longitud
ASHUN000012,SMU,Servicios Médicos Universitarios,AGUASCALIENTES,AGUASCALIENTES,Consulta Externa,N/A,No Especificado,Primer Nivel,Privado,UNIDAD DE ODONTOLOGÍA DE LA UNIVERSIDAD CUAUHTÉMOC,"AVENIDA SIGLO XXI 6104, FRACCIONAMIENTO SOLIDARIDAD I, AGUASCALIENTES, AGUASCALIENTES, CP. 20196",21.87086,-102.245102
ASIMS000016,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Hospitalización,HGZ,Hospital General de Zona,Segundo Nivel,Público,HGZ 2 AGUASCALIENTES,"AVENIDA LOS CONOS 102, FRACCIONAMIENTO OJOCALIENTE, AGUASCALIENTES, AGUASCALIENTES, CP. 20190",21.8773199,-102.2544229
ASIMS000021,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Hospitalización,HGZ,Hospital General de Zona,Segundo Nivel,Público,HGZ 1 AGUASCALIENTES,"BOULEVARD JOSÉ MARÍA CHÁVEZ 1202, FRACCIONAMIENTO LINDAVISTA, AGUASCALIENTES, AGUASCALIENTES, CP. 20270",21.8661478,-102.2951765
ASIMS000033,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 1 AGUASCALIENTES,"BOULEVARD JOSÉ MARÍA CHÁVEZ 1202, FRACCIONAMIENTO LINDAVISTA, AGUASCALIENTES, AGUASCALIENTES, CP. 20270",21.8664341,-102.2957787
ASIMS000045,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 10 AGUASCALIENTES,"AVENIDA CONVENCIÓN DE 1914 NORTE 102, COLONIA INDUSTRIAL, AGUASCALIENTES, AGUASCALIENTES, CP. 20030",21.9000674,-102.2955062
ASIMS000050,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 7 SAN MARCOS,"AVENIDA AGUASCALIENTES 603, FRACCIONAMIENTO SAN MARCOS, AGUASCALIENTES, AGUASCALIENTES, CP. 20070",21.8804243,-102.3196314
ASIMS000062,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 8 AGUASCALIENTES,"AVENIDA ALAMEDA 702, COLONIA DEL TRABAJO, AGUASCALIENTES, AGUASCALIENTES, CP. 20180",21.8847294,-102.2763838
ASIMS000074,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 9 AGUASCALIENTES,"AVENIDA SIGLO XXI 301, FRACCIONAMIENTO MUNICIPIO LIBRE, AGUASCALIENTES, AGUASCALIENTES, CP. 20199",21.8957721,-102.2552599
ASIMS000086,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,ASIENTOS,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 5 ASIENTOS,"AVENIDA NICOLÁS BRAVO 1, COLONIA INFONAVIT, ASIENTOS, AGUASCALIENTES, CP. 20715",22.235075,-102.0873268
ASIMS000091,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,CALVILLO,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 4 CALVILLO,"AVENIDA RODOLFO LANDEROS 320, COLONIA BUGAMBILIAS, CALVILLO, AGUASCALIENTES, CP. 20800",21.8474122,-102.7066561
ASIMS000103,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,JESUS MARIA,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 6 JESÚS MARÍA,"AVENIDA AGUA POTABLE SIN NUMERO, FRACCIONAMIENTO AGUA CLARA, JESUS MARIA, AGUASCALIENTES, CP. 20924",21.955939,-102.3383474
ASIMS000115,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,PABELLON DE ARTEAGA,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 3 PABELLÓN ARTEAGA,"AVENIDA REVOLUCIÓN SIN NUMERO, COLONIA ZONA CENTRO, PABELLON DE ARTEAGA, AGUASCALIENTES, CP. 20670",22.1457198,-102.2803085
ASIMS000120,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,RINCON DE ROMOS,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 2 RINCÓN DE ROMOS,"AVENIDA INSURGENTES 126, COLONIA CENTRO RINCÓN DE ROMOS, RINCON DE ROMOS, AGUASCALIENTES, CP. 20400",22.2282169,-102.3217268
ASIMS000144,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Consulta Externa,UMF,Unidad de Medicina Familiar,Primer Nivel,Público,UMF 11 AGUASCALIENTES,"AVENIDA MARIANO HIDALGO 510, FRACCIONAMIENTO MORELOS I, AGUASCALIENTES, AGUASCALIENTES, CP. 20198",21.8574683,-102.2589902
ASIMS000154,IMSS,Instituto Mexicano del Seguro Social,AGUASCALIENTES,AGUASCALIENTES,Consulta Externa,UMAA,Unidad Médica de Atención Ambulatoria,Segundo Nivel,Público,UMAA 1 AGUASCALIENTES (AUT),"AVENIDA CONVENCIÓN DE 1914 NORTE 102, COLONIA INDUSTRIAL, AGUASCALIENTES, AGUASCALIENTES, CP. 20030",21.8998,-102.2965
